product.name,product.temperature,affiliation.commission.price.value,product.blueprint,product.price.value,product.totalAnswers,product.category,affiliation.commission.price.currency,affiliation.commission.percentage,producer.name,producer.ucode
MOLDE VESTIDO SAMANTA,15.11,4.12,67.0,12.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CONJUNTO ANTONELLA,21.0,5.2,67.0,15.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO CLARISSE,21.0,4.84,67.0,14.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE PIJAMA CIRURGICO BETE,18.7,5.16,77.0,12.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT CHAMISES,0.0,6.96,77.0,16.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE CALÇA ALFAIATRAIA YARA,21.0,4.0,77.0,10.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT SUTIÃ BRALETTE + TOP DE ALÇA,21.0,3.2,77.0,8.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE KIT MACACÃO NALA MÃE E FILHA ,21.0,5.2,67.0,15.0,0,category.fashion_and_beauty.name,BRL,40.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO TUBINHO LINDA,21.0,5.16,77.0,12.0,2,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE VESTIDO ISADORA,21.0,7.41,77.0,17.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
MOLDE MACACÃO JOGGER,18.7,5.61,77.0,13.0,0,category.fashion_and_beauty.name,BRL,50.0,Suerlania Nunes,c5dabffb-7167-4858-859d-3a9d62fa6ba4
LIVRO JUNTOS NO PARAÍSO,13.22,0.97,55.7522123893805,22.0,0,category.literature.name,BRL,5.0,Victor,c2f94bda-097e-11e4-be45-22000b409f8a
10.000 Seguidores no Twitter,10.39,26.93,80.53097345132741,150.0,0,category.business_and_careers.name,BRL,20.0,Maria,c3795f50-097e-11e4-be45-22000b409f8a
20.000 Seguidores no Twitter,9.45,67.45,80.53097345132741,300.0,1,category.finance.name,BRL,25.0,Maria,c3795f50-097e-11e4-be45-22000b409f8a
Guia do jogo Zelda Ocarina of Time,14.55,1.2,54.159292035398195,5.0,0,category.entertainment.name,BRL,30.0,Daniel,c3725fde-097e-11e4-be45-22000b409f8a
Basic English for Missions ,13.6,7.01,72.71028037383181,20.0,1,category.spirituality.name,BRL,40.0,Macson Pontes,c30c89fc-097e-11e4-be45-22000b409f8a
Script Compra Coletiva,0.36,11.01,44.6017699115044,24.99,0,category.business_and_careers.name,BRL,50.0,Rodrigo,c3b173fe-097e-11e4-be45-22000b409f8a
As Armadilhas Mortais do Marketing de Rede,6.61,20.93,57.8761061946903,47.0,0,category.business_and_careers.name,BRL,50.0,Marisa Ferreira ,c32d2874-097e-11e4-be45-22000b409f8a
Como despertar o seu génio financeiro,15.74,41.2,83.71681415929199,92.0,0,category.finance.name,BRL,50.0,Pedro,c3659f2e-097e-11e4-be45-22000b409f8a
CAPACITAÇÃO FINANCEIRA,6.61,21.83,56.991150442477895,49.0,0,category.business_and_careers.name,BRL,50.0,Marisa Ferreira ,c32d2874-097e-11e4-be45-22000b409f8a
